Time,Focus,Calm,Signal Strength
1394842223,0,0,200
1394842246,0,0,200
1394842247,0,0,200
1394842249,0,0,200
1394842251,0,0,200
1394842257,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842258,0,0,200
1394842259,0,0,54
1394842259,0,0,54
1394842259,0,0,54
1394842259,0,0,29
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842259,0,0,200
1394842260,0,0,200
1394842261,0,0,200
1394842262,0,0,200
1394842263,0,0,200
1394842264,0,0,200
1394842265,0,0,200
1394842266,0,0,200
1394842267,0,0,200
1394842268,0,0,200
1394842269,0,0,200
1394842270,0,0,200
1394842271,0,0,200
1394842272,0,0,200
1394842273,0,0,200
1394842274,0,0,200
1394842275,0,0,200
1394842276,0,0,200
1394842277,0,0,200
1394842279,0,0,200
1394842284,0,0,200
1394842285,0,0,200
1394842286,0,0,200
1394842289,0,0,200
1394842290,0,0,200
1394842291,0,0,200
1394842293,0,0,200
1394842295,0,0,200
1394842297,0,0,200
1394842299,0,0,200
1394842300,0,0,200
1394842313,0,0,200
1394842315,0,0,200
1394842316,0,0,200
1394842317,0,0,200
1394842325,0,0,200
1394842326,0,0,200
1394842329,0,0,200
1394842330,0,0,200
1394842331,0,0,200
1394842344,0,0,200
1394842345,0,0,200
1394842347,0,0,200
1394842350,0,0,200
1394842353,0,0,200
1394842356,0,0,200
1394842357,0,0,80
1394842359,0,0,55
1394842360,0,0,26
1394842365,0,0,55
1394842367,0,0,55
1394842368,0,0,51
1394842369,0,0,26
1394842370,0,0,55
1394842372,0,0,26
1394842373,0,0,26
1394842374,0,0,26
1394842381,0,0,55
1394842383,0,0,0
1394842388,0,0,26
1394842388,0,0,26
1394842388,0,0,0
1394842388,0,0,0
1394842388,0,0,26
1394842388,0,0,26
1394842388,0,0,26
1394842388,0,0,26
1394842388,41,48,0
1394842388,47,54,0
1394842388,47,54,26
1394842388,56,51,0
1394842388,60,48,0
1394842388,60,48,26
1394842388,54,51,0
1394842388,53,34,0
1394842388,40,35,0
1394842388,40,35,26
1394842389,40,35,26
1394842389,40,35,26
1394842389,40,35,51
1394842389,48,29,0
1394842389,51,37,0
1394842389,47,48,0
1394842389,47,48,26
1394842389,47,47,0
1394842389,29,37,0
1394842389,38,14,0
1394842389,47,4,0
1394842389,47,4,26
1394842389,57,1,0
1394842389,67,10,0
1394842389,69,20,0
1394842389,57,37,0
1394842389,41,47,0
1394842389,48,48,0
1394842389,48,48,51
1394842389,48,48,26
1394842389,48,48,26
1394842389,50,40,0
1394842389,56,35,0
1394842389,81,24,0
1394842389,81,24,26
1394842389,78,21,0
1394842389,78,21,51
1394842389,53,24,0
1394842390,53,24,26
1394842390,53,24,26
1394842390,61,21,0
1394842390,37,34,0
1394842390,34,37,0
1394842390,64,17,0
1394842390,51,10,0
1394842390,78,4,0
1394842390,83,1,0
1394842390,70,16,0
1394842390,93,13,0
1394842390,84,13,0
1394842390,91,10,0
1394842390,91,14,0
1394842390,94,16,0
1394842390,94,20,0
1394842390,84,24,0
1394842390,74,29,0
1394842390,53,53,0
1394842390,53,53,26
1394842390,53,53,26
1394842390,53,53,26
1394842390,37,41,0
1394842390,37,41,26
1394842390,37,41,26
1394842390,44,48,0
1394842391,47,27,0
1394842392,51,21,0
1394842393,61,38,0
1394842394,57,43,0
1394842395,67,67,0
1394842396,77,57,0
1394842397,77,50,0
1394842398,64,50,0
1394842399,60,40,0
1394842400,57,35,0
1394842401,61,24,0
1394842402,57,23,0
1394842403,51,37,0
1394842404,37,29,0
1394842405,37,43,0
1394842406,60,27,0
1394842407,63,14,0
1394842408,66,24,0
1394842409,83,10,0
1394842410,63,27,0
1394842411,77,27,0
1394842412,87,16,0
1394842413,81,16,0
1394842414,91,1,0
1394842415,78,1,0
1394842416,77,13,0
1394842417,57,37,0
1394842418,53,56,0
